0,0,0,0,0,-20,0
0,1,0,0,0,0,0
1,0,0,0,0,0,-1
0,0,0,0,0,0,0
0,1,1,20,0,0,1
1,1,0,0,-5,35,-1
0,0,0,0,0,0,0
0,1,0,0,0,10,1
2,0,-1,0,-4,0,-1
0,0,0,0,0,0,0
1,1,0,10,10,0,0
1,0,0,0,0,10,-1
0,0,0,0,0,0,0
1,1,0,0,0,10,1
0,1,0,0,0,15,-1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1,0,0,0,10,-1
0,0,0,0,0,0,0
0,0,-2,0,0,20,0
2,2,2,0,0,20,-1
-2,0,-1,0,0,-15,-1
1,1,0,0,0,0,1
1,0,0,0,0,0,-1
0,2,2,0,0,10,-1
0,0,0,0,0,0,0
0,0,-2,0,0,0,0
0,0,0,0,0,0,0
1,1,-1,15,0,0,-1
1,1,1,15,0,0,0
-2,-2,0,-5,10,0,0
0,0,0,0,20,0,0
-1,-1,1,10,30,0,1
0,0,0,0,0,0,0
3,0,1,0,10,0,-1
4,0,1,5,13,0,1
0,0,0,0,0,0,0
1,1,0,0,0,0,-1
2,2,1,5,10,0,-2
0,0,0,0,10,0,0
0,0,0,0,0,30,0
3,3,3,0,0,25,-1
0,0,-2,0,0,0,-1
0,1,1,0,0,0,1
0,0,0,0,0,0,0
-2,-6,0,0,-10,0,0
0,0,2,0,0,0,0
1,4,0,0,5,0,1
