0,0,0,0,0,-25,0
0,2,1,0,0,0,0
0,0,-1,0,0,0,-1
1,0,0,15,0,0,1
0,2,0,0,0,0,0
1,0,0,0,0,10,-1
0,0,0,0,0,0,1
0,0,0,0,0,20,1
0,0,0,0,0,0,-1
0,0,0,0,0,0,1
0,0,1,0,0,0,0
0,0,0,0,0,10,-1
0,0,0,0,0,0,0
0,1,0,0,0,10,0
0,0,0,0,0,20,-1
0,0,0,0,0,0,0
0,2,0,0,0,10,1
1,0,0,0,0,0,-1
0,0,0,0,20,0,-1
0,0,0,0,0,15,0
0,0,0,0,0,10,1
0,0,0,0,0,0,0
0,1,0,0,0,10,0
0,0,0,0,0,-40,0
1,0,0,0,0,0,-1
0,0,1,30,0,0,1
1,0,-1,0,0,0,-1
0,0,1,10,0,5,1
-3,-5,-2,0,-10,-10,-3
1,2,1,0,0,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,-1
0,0,0,0,0,0,0
0,0,2,0,10,30,2
0,0,-2,0,0,0,-2
1,0,-1,0,0,-30,-1
0,0,1,0,0,0,0
0,0,0,0,0,0,-1
0,0,0,0,0,-30,0
0,2,2,0,0,0,0
-3,-3,-1,0,-4,-30,-1
0,0,-1,0,0,0,-1
0,2,0,0,0,10,1
0,2,1,0,0,30,0
0,0,-1,0,0,0,-1
0,0,1,0,0,0,1
0,0,-1,0,0,0,-1
